Financial Instrument,index,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Unnamed: 27,Next_div_receiveable,Unrealized PnL %,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,ME_price,MtD price return,Rate,Last in USD,Avg Price in USD,Cost Basis in USD,Unrealized P&L in USD,Market Value in USD,Dividends in USD,Next_div_receiveable in USD,Financial Instrument_NEW
VNA IBIS,0,28.41,213.5847,23.603,5041.0,1031.0,6072.0,7.91,DE,VONOVIA SE,REITS,REITS,0.9,0.9,05122025,26.55,,44.49084732307233,22.95564900737774,,192.22623000000002,20.45,5,May,3.17,20.37,European Apartments,EUR,Large,28.54,-0.46,26.46,7.37,1.0708472728729248,30.422771022319793,25.275208181619647,5398.141102552414,1104.0435383319855,6502.184640884399,0.9637625455856323,205.84493417014363,VNA.DE
ADC,1,68.97,67.0,57.835,3875.0,749.0,4624.0,5.56,US,AGREE REALTY CORP,REITS,REITS,3.0,0.25,08302024,61.94,,23.169320401433215,12.526890935588147,,16.75,19.33,8,Aug,4.35,19.25,Net Lease,USD,Medium,62.95,9.56,61.94,11.35,1.0,68.97,57.835,3875.0,749.0,4624.0,3.0,16.75,ADC
ARE,2,117.29,28.0,116.658,3266.0,18.0,3284.0,3.95,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,5.2,1.3,09302024,116.97,,36.44040949719393,19.11401842021398,,36.4,0.55,9,Sep,4.43,0.54,Office in science,USD,Medium,126.77,-7.48,116.97,0.27,1.0,117.29,116.658,3266.0,18.0,3284.0,5.2,36.4,ARE
BTG,3,3.0,2708.0,3.118,8441.0,-267.0,8174.0,9.83,CA,B2GOLD CORP,Basic Materials,Gold Miners,0.0,0.0,01012000,2.7,,45.13948132703528,28.38092073048546,,0.0,-3.16,1,Jan,0.0,-3.78,,USD,Large,3.17,-5.36,2.7,11.11,1.0,3.0,3.118,8441.0,-267.0,8174.0,0.0,0.0,BTG
BYG LSE,4,1210.0,25.0,1116.5,279.0,23.0,303.0,0.47,GB,BIG YELLOW GROUP PLC,REITS,REITS,0.452,0.226,12312024,11.74,,39.376557174587816,25.87449611149597,,5.65,8.24,12,Dec,0.04,8.37,UK Self Storage,GBP,Micro,1222.0,-0.98,1174.0,3.07,1.2645741701126099,1530.134745836258,1411.897060930729,352.81619346141815,29.085205912590027,383.1659735441208,0.5715875248908997,7.144844061136246,BYG.L
CCI,5,110.08,20.0,104.165,2083.0,118.0,2202.0,2.65,US,CROWN CASTLE INC,REITS,REITS,6.26,1.565,09132024,97.7,,34.35624482826022,18.15186437945775,,31.299999999999997,5.66,9,Sep,5.69,5.68,Cell Towers,USD,Small,115.2,-4.44,97.7,12.67,1.0,110.08,104.165,2083.0,118.0,2202.0,6.26,31.299999999999997,CCI
GMRE,6,9.55,200.0,7.689,1538.0,375.0,1912.0,2.3,US,GLOBAL MEDICAL REIT INC,REITS,REITS,0.84,0.21,09272024,9.08,,29.39450782915374,18.16218381215849,,42.0,24.38,9,Sep,8.8,24.2,Healthcare,USD,Small,11.1,-13.96,9.08,5.18,1.0,9.55,7.689,1538.0,375.0,1912.0,0.84,42.0,GMRE
IAUX,7,1.07,3100.0,1.957,6066.0,-2749.0,3317.0,3.99,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,0.0,0.0,01012000,1.08,'-0.3920454512511895,80.70393657195673,43.864599687297726,,0.0,-45.32,1,Jan,0.0,-45.32,,USD,Medium,1.79,-40.22,1.03,3.88,1.0,1.07,1.957,6066.0,-2749.0,3317.0,0.0,0.0,IAUX
MAC,8,16.01,115.0,7.646,879.0,962.0,1841.0,2.21,US,MACERICH CO/THE,REITS,REITS,0.68,0.17,08192024,15.44,0.04768576158022887,46.03861142845055,27.48035951003661,,19.55,109.44,8,Aug,4.25,109.39,Malls,USD,Small,15.43,3.76,15.44,3.69,1.0,16.01,7.646,879.0,962.0,1841.0,0.68,19.55,MAC
NLCP,9,19.99,100.0,13.934,1393.0,601.0,1994.0,2.4,US,NEWLAKE CAPITAL PARTNERS INC,REITS,REITS,1.72,0.43,09302024,20.0,,52.61684764255171,23.20329173733546,,43.0,43.14,9,Sep,8.6,43.46,Cannabis,USD,Small,16.01,24.86,20.0,-0.05,1.0,19.99,13.934,1393.0,601.0,1994.0,1.72,43.0,NLCP
OUT,10,16.22,77.0,22.87,1761.0,-512.0,1249.0,1.5,US,OUTFRONT MEDIA INC,REITS,REITS,1.2,0.3,09062024,14.3,,73.27196393289354,26.99714098560878,,23.099999999999998,-29.07,9,Sep,7.4,-29.08,Billboards,USD,Small,13.96,16.19,14.3,13.43,1.0,16.22,22.87,1761.0,-512.0,1249.0,1.2,23.099999999999998,OUT
REI.UN TSE,11,17.88,26.0,18.22,474.0,-9.0,465.0,0.4,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,1.11,0.0925,08302024,,,25.573674299268102,14.371350558542687,,2.405,-1.9,8,Aug,6.21,-1.87,Canadian Retail,CAD,Micro,18.62,-3.97,16.84,6.18,0.7299643158912659,13.051761968135834,13.299949835538863,346.00308573246,-6.569678843021393,339.43340688943863,0.8102603906393052,1.7555641797184942,REI-UN.TO
REXR,12,50.11,70.0,45.046,3153.0,355.0,3508.0,4.22,US,REXFORD INDUSTRIAL REALTY IN,REITS,REITS,0.0,0.0,01012000,44.59,,34.20607194917563,18.59412894897968,,0.0,11.26,1,Jan,0.0,11.24,Industrial,USD,Medium,56.099998474121094,-10.68,44.59,12.38,1.0,50.11,45.046,3153.0,355.0,3508.0,0.0,0.0,REXR
RICK,13,49.48,50.969,71.327,3635.0,-1108.0,2527.0,3.04,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",REITS,0.24,0.06,09132024,43.56,,43.02944119805452,20.57494996960186,,3.05814,-30.48,9,Sep,0.49,-30.63,Night Clubs,USD,Medium,66.26,-25.32,43.56,13.59,1.0,49.48,71.327,3635.0,-1108.0,2527.0,0.24,3.05814,RICK
SAFE,14,23.14,140.0,23.53,3294.0,-48.0,3247.0,3.9,US,SAFEHOLD INC,REITS,REITS,0.708,0.177,09272024,19.29,,47.45636546608697,27.35542932349249,,24.779999999999998,-1.46,9,Sep,3.06,-1.66,Ground lease,USD,Medium,23.4,-1.11,19.29,19.96,1.0,23.14,23.53,3294.0,-48.0,3247.0,0.708,24.779999999999998,SAFE
