,Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
0,BTG,97,0.02,3.55,1308.0,3.477,4547.0,102.0,4649.0,8.24,CA,B2GOLD CORP,Basic Materials,Gold Miners,4595351620.086768,66.96924,0.98176,3.0,4.91,38.30985915492959,0.16,0.04,09192023,3.68,0.01,54.91,28.4,52.32,2.24,9,Sep,4.51,2.1,,USD,Large,3.58,-0.84,3.93,-9.67
1,VNA IBIS,-45,-0.01,17.435,213.5847,23.603,5041.0,-1326.0,3715.0,7.17,DE,VONOVIA SE,REITS,REITS,14170754493.041748,,0.69195,21.0,31.3,79.5239460854603,0.85,0.85,05082024,17.16,-0.21,54.33,32.28,181.54699499999998,-26.3,5,May,4.88,-26.13,European Apartments,EUR,Large,22.02,-20.82,19.785,-11.88
2,RICK,-124,-0.03,72.94,50.969,71.327,3635.0,82.0,3718.0,6.59,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,687840552.9583443,4.57819,1.65699,3.0,138.67,90.1151631477927,0.24,0.06,09112023,72.23,-0.22,58.07,24.64,3.05814,2.26,9,Sep,0.33,2.26,Night Club,USD,Large,93.19,-21.73,74.9,-2.62
3,KGC,-8,-0.0,4.61,755.0,3.8,2869.0,612.0,3481.0,6.17,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,5653045971.947195,380.7018,0.99872,15.0,6.07,31.670281995661604,0.12,0.03,08172023,4.71,0.14,59.51,32.62,22.65,21.33,8,Aug,2.6,21.32,,USD,Large,4.06,13.55,5.03,-8.35
4,GRPN,119,0.04,5.69,495.6932,5.181,2568.0,252.0,2820.0,5.0,US,GROUPON INC,Communications,Internet,175204078.71559632,,1.73293,4.0,4.72,-17.04745166959579,0.0,0.0,01012000,5.4,-0.34,134.93,61.04,0.0,9.81,1,Jan,0.0,9.82,,USD,Medium,8.7,-34.6,3.58,58.94
5,IAUX,0,-0.0,2.14,1300.0,2.257,2933.0,-138.0,2795.0,4.95,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,594966133.4519572,,,,,,0.0,0.0,01012000,2.16,-0.24,84.76,46.5,0.0,-4.71,1,Jan,0.0,-5.18,,USD,Medium,2.82,-24.11,2.53,-15.42
6,ARE,-44,-0.02,109.08,25.0,118.556,2964.0,-237.0,2727.0,4.83,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,18872325889.03925,108.8433,0.93555,8.0,163.88,50.23835716905024,4.96,1.24,06292023,113.46,-0.24,33.26,18.92,31.0,-8.0,6,Jun,4.55,-7.99,Office in science,USD,Medium,144.24,-24.38,124.18,-12.16
7,EPR,-25,-0.01,43.69,62.0,40.396,2505.0,204.0,2709.0,4.8,US,EPR PROPERTIES,REITS,REITS,3288950301.2020864,147.8738,1.65745,8.0,45.5,4.142824444953084,3.3,0.275,06292023,41.71,0.2,36.86,21.65,17.05,8.14,6,Jun,7.55,8.15,Net Lease,USD,Medium,37.72,15.83,41.8,4.52
8,VICI,-43,-0.02,30.63,88.0,28.916,2545.0,151.0,2695.0,4.78,US,VICI PROPERTIES INC,REITS,REITS,30759823168.380463,106.8449,0.95472,21.0,37.83,23.506366307541622,1.56,0.39,09202023,30.93,-0.04,39.3,16.43,34.32,5.93,9,Sep,5.09,5.93,Net Lease,USD,Medium,32.4,-5.46,33.94,-9.75
9,MPW,-31,-0.01,8.7,306.0,16.656,5097.0,-2434.0,2662.0,4.72,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,5205210000.0,231.4922,0.9928,11.0,12.0,37.93103448275863,1.16,0.29,09132023,8.25,-0.19,55.32,25.76,88.74,-47.75,9,Sep,13.33,-47.77,Healthcare,USD,Medium,11.17,-22.11,8.82,-1.36
