Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
BTG,162.0,0.03,2.4,2708.0,3.118,8441.0,-1942.0,6499.0,9.47,CA,B2GOLD CORP,Basic Materials,Gold Miners,3126841252.776149,1981.935,1.12888,4.0,4.43,84.58333333333333,0.16,0.04,03062024,2.8,-0.24,41.6,28.17,108.32000000000001,-23.01,3.0,Mar,6.67,-23.03,,USD,Large,3.17,-24.29,2.8,-14.29
NEM,135.0,0.05,31.22,100.0,35.681,3568.0,-446.0,3122.0,4.55,US,NEWMONT CORP,Basic Materials,Gold Miners,35965439208.98437,,0.49791,21.0,47.29,51.473414477898785,1.0,0.25,03042024,34.51,-0.25,36.06,20.6,25.0,-12.5,3.0,Mar,3.2,-12.5,,USD,Medium,45.36,-31.17,34.51,-9.53
ARE,93.0,0.03,124.73,28.0,116.658,3266.0,226.0,3492.0,5.09,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,21820805160.58782,930.4833,1.05892,13.0,140.92,12.980036879660053,5.08,1.27,03272024,120.9,-0.02,36.44,19.11,35.56,6.92,3.0,Mar,4.07,6.92,Office in science,USD,Medium,126.77,-1.61,120.9,3.17
SAFE,81.0,0.03,20.12,140.0,23.53,3294.0,-477.0,2817.0,4.11,US,SAFEHOLD INC,REITS,REITS,1430064583.7032197,,1.45154,13.0,29.52,46.7196819085487,0.708,0.177,06272024,19.86,-0.14,52.03,30.11,24.779999999999998,-14.48,6.0,Jun,3.52,-14.49,Ground lease,USD,Medium,23.4,-14.02,19.86,1.31
IAUX,62.0,0.02,1.26,3100.0,1.957,6066.0,-2160.0,3906.0,5.69,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,377036547.14626926,,,,,,0.0,0.0,01012000,1.6,-0.28,68.82,42.98,0.0,-35.61,1.0,Jan,0.0,-35.62,,USD,Medium,1.79,-29.61,1.6,-21.25
AEM,44.0,0.01,48.06,100.0,43.551,4355.0,451.0,4806.0,7.01,CA,AGNICO EAGLE MINES LTD,Basic Materials,Gold Miners,23950237455.88695,29.83268,0.94205,16.0,67.08,39.57553058676653,1.6,0.4,05302024,49.16,-0.12,39.18,22.49,40.0,10.36,5.0,May,3.33,10.35,,USD,Large,54.16,-11.26,49.16,-2.24
GMRE,38.0,0.02,8.95,200.0,7.689,1538.0,252.0,1790.0,2.61,US,GLOBAL MEDICAL REIT INC,REITS,REITS,586892150.7346575,344.1277,1.15268,7.0,10.91,21.899441340782133,0.84,0.21,03212024,10.11,-0.19,35.27,18.16,42.0,16.38,3.0,Mar,9.39,16.4,Healthcare,USD,Small,11.1,-19.37,10.11,-11.47
UNIT,38.0,0.03,5.94,192.0,6.965,1337.0,-197.0,1140.0,1.66,US,UNITI GROUP INC,REITS,REITS,1417712438.744037,,1.42059,9.0,6.33,6.5656565656565595,0.6,0.15,03272024,5.26,0.03,66.88,40.93,28.799999999999997,-14.73,3.0,Mar,10.1,-14.72,Specialty,USD,Small,5.78,2.77,5.26,12.93
VNA IBIS,34.0,0.01,25.77,213.5847,23.603,5041.0,463.0,5504.0,8.67,DE,VONOVIA SE,REITS,REITS,20993403209.68372,,0.74186,22.0,32.3,25.33954210322079,0.85,0.85,05082024,29.05,-0.1,52.74,28.65,181.54699499999998,9.18,5.0,May,3.3,9.18,European Apartments,EUR,Large,28.54,-9.71,29.05,-11.29
VICI,33.0,0.01,29.93,88.0,28.89,2542.0,92.0,2634.0,3.84,US,VICI PROPERTIES INC,REITS,REITS,31207401783.01789,65.2837,0.92132,21.0,36.1,20.61476779151354,1.66,0.415,03202024,30.12,-0.06,24.27,13.96,36.519999999999996,3.62,3.0,Mar,5.55,3.6,Net Lease,USD,Medium,31.75,-5.73,30.12,-0.63
