Financial Instrument,index,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Unnamed: 27,Next_div_receiveable,Unrealized PnL %,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,ME_price,MtD price return,Rate,Last in USD,Avg Price in USD,Cost Basis in USD,Unrealized P&L in USD,Market Value in USD,Dividends in USD,Next_div_receiveable in USD,Financial Instrument_NEW
ADC,0,61.94,67.0,57.835,3875.0,275.0,4150.0,5.4,US,AGREE REALTY CORP,REITS,REITS,3.0,0.25,07312024,60.76,0.005181686665122807,23.169320401433215,12.526890935588147,,16.75,7.1,7,Jul,4.84,7.1,Net Lease,USD,Medium,62.95,-1.6,60.76,1.94,1.0,61.94,57.835,3875.0,275.0,4150.0,3.0,16.75,ADC
ARE,1,116.97,28.0,116.658,3266.0,9.0,3275.0,4.26,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,5.2,1.3,09302024,119.0,'-0.06812408656327397,36.44040949719393,19.11401842021398,,36.4,0.28,9,Sep,4.45,0.27,Office in science,USD,Medium,126.77,-7.73,119.0,-1.71,1.0,116.97,116.658,3266.0,9.0,3275.0,5.2,36.4,ARE
BRNK IBIS,2,2.035,433.0,7.453,3227.0,-2346.0,881.0,1.23,DE,BRANICKS GROUP AG,REITS,REITS,0.75,0.75,03102026,2.48,'-0.397037037037037,140.07331830809687,30.792418396058164,,324.75,-72.7,3,Mar,36.86,-72.7,European Office/Assets management,EUR,Small,3.375,-39.7,2.48,-17.94,1.0835410356521606,2.205006007552147,8.075631338715553,3496.5869220495224,-2541.987269639969,954.5996524095535,0.8126557767391205,351.87995132803917,BRNK.DE
BTG,3,2.7,2708.0,3.118,8441.0,-1130.0,7312.0,9.51,CA,B2GOLD CORP,Basic Materials,Gold Miners,0.16,0.04,09252024,2.8,'-0.13281706973326085,45.13948132703528,28.165028736441943,,108.32000000000001,-13.39,9,Sep,5.93,-13.41,,USD,Large,3.17,-14.83,2.81,-3.91,1.0,2.7,3.118,8441.0,-1130.0,7312.0,0.16,108.32000000000001,BTG
BYG LSE,4,1174.0,25.0,1116.5,279.0,14.0,294.0,0.48,GB,BIG YELLOW GROUP PLC,REITS,REITS,0.452,0.226,07042024,12.48,'-0.039279890060552054,39.376557174587816,25.87449611149597,,5.65,5.02,7,Jul,0.04,5.15,UK Self Storage,GBP,Micro,1222.0,-3.93,1248.0,-5.93,1.27304208278656,1494.5514051914215,1421.3514854311943,355.17874109745026,17.82258915901184,374.27437233924866,0.5754150214195252,7.192687767744065,BYG.L
CCI,5,97.7,20.0,104.165,2083.0,-129.0,1954.0,2.54,US,CROWN CASTLE INC,REITS,REITS,6.26,1.565,09132024,102.5,'-0.13933594553360798,34.390375834467854,18.15186437945775,,31.299999999999997,-6.19,9,Sep,6.41,-6.21,Cell Towers,USD,Small,115.2,-15.19,102.5,-4.68,1.0,97.7,104.165,2083.0,-129.0,1954.0,6.26,31.299999999999997,CCI
CVS,6,59.08,100.0,63.289,6329.0,-420.0,5909.0,7.68,US,CVS HEALTH CORP,"Consumer, Non-cyclical",Pharmaceuticals,2.66,0.665,07192024,59.6,'-0.24497725298772696,66.66753291813453,19.0681412975583,,66.5,-6.64,7,Jul,4.5,-6.65,,USD,Large,78.95999908447266,-25.18,59.09,-0.02,1.0,59.08,63.289,6329.0,-420.0,5909.0,2.66,66.5,CVS
EPR,7,41.98,62.0,39.451,2446.0,157.0,2603.0,3.38,US,EPR PROPERTIES,REITS,REITS,3.494,0.285,07312024,41.04,'-0.10420497781067067,23.53237075833256,16.40693849391648,,17.669999999999998,6.42,7,Jul,8.32,6.41,NNN - Fun Parks,USD,Medium,48.45,-13.35,41.04,2.29,1.0,41.98,39.451,2446.0,157.0,2603.0,3.494,17.669999999999998,EPR
GMRE,8,9.08,200.0,7.689,1538.0,278.0,1816.0,2.36,US,GLOBAL MEDICAL REIT INC,REITS,REITS,0.84,0.21,09272024,9.29,'-0.16216836727959363,29.39450782915374,18.16218381215849,,42.0,18.08,9,Sep,9.25,18.09,Healthcare,USD,Small,11.1,-18.2,9.29,-2.26,1.0,9.08,7.689,1538.0,278.0,1816.0,0.84,42.0,GMRE
IAUX,9,1.03,3100.0,1.957,6066.0,-2873.0,3193.0,4.15,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,0.0,0.0,01012000,1.09,'-0.41477272410161237,80.70393657195673,42.979118440136496,,0.0,-47.36,1,Jan,0.0,-47.37,,USD,Medium,1.79,-42.46,1.13,-8.85,1.0,1.03,1.957,6066.0,-2873.0,3193.0,0.0,0.0,IAUX
LI SBF,10,25.0,78.0,13.031,1016.0,934.0,1950.0,2.72,FR,KLEPIERRE,REITS,REITS,0.0,0.0,01012000,26.6,0.012965951817962895,26.72013074688781,14.19689005189252,,0.0,91.93,1,Jan,0.0,91.85,European Malls,EUR,Small,24.68,1.3,26.6,-6.02,1.0835410356521606,27.088525891304016,14.119623235583306,1100.8776922225952,1012.027327299118,2112.9050195217133,0.0,0.0,LI.PA
MAC,11,15.44,115.0,7.646,879.0,896.0,1776.0,2.31,US,MACERICH CO/THE,REITS,REITS,0.68,0.17,08162024,15.12,0.010385269131713407,46.03861142845055,27.48035951003661,,19.55,101.93,8,Aug,4.4,101.94,Malls,USD,Small,15.43,0.06,15.12,2.12,1.0,15.44,7.646,879.0,896.0,1776.0,0.68,19.55,MAC
MPW,12,4.32,306.0,16.656,5097.0,-3775.0,1322.0,1.72,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,0.6,0.15,09192024,5.36,'-0.09030413074996488,111.82225980247784,30.361583559231,,45.9,-74.06,9,Sep,13.89,-74.06,Healthcare,USD,Small,4.93,-12.37,5.33,-18.95,1.0,4.32,16.656,5097.0,-3775.0,1322.0,0.6,45.9,MPW
NET.UN VENTURE,13,4.87,70.0,8.016,561.0,-219.0,342.0,0.33,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,0.345,0.02875,07152024,,,39.11510592007066,14.559780738486458,,2.0125,-39.04,7,Jul,7.08,-39.25,Canadian Net Lease,CAD,Micro,4.85,0.41,4.91,-0.81,0.7308178544044495,3.559082950949669,5.858235920906067,409.98881632089615,-160.04911011457443,249.93970620632172,0.25213215976953507,1.4707709319889546,NET-UN.V
NLCP,14,20.0,100.0,13.934,1393.0,607.0,2000.0,2.6,US,NEWLAKE CAPITAL PARTNERS INC,REITS,REITS,1.72,0.43,09302024,18.86,0.27621831524737883,52.61684764255171,23.20329173733546,,43.0,43.58,9,Sep,8.6,43.53,Cannabis,USD,Small,16.01,24.92,18.86,6.04,1.0,20.0,13.934,1393.0,607.0,2000.0,1.72,43.0,NLCP
