Financial Instrument,index,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Unnamed: 27,Next_div_receiveable,Unrealized PnL %,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,ME_price,MtD price return,Rate,Last in USD,Avg Price in USD,Cost Basis in USD,Unrealized P&L in USD,Market Value in USD,Dividends in USD,Next_div_receiveable in USD,Financial Instrument_NEW
CVS,0,59.09,100.0,63.289,6329.0,-419.0,5909.0,7.82,US,CVS HEALTH CORP,"Consumer, Non-cyclical",Pharmaceuticals,2.66,0.665,07192024,67.71,'-0.24484945631423127,66.66753291813453,19.0681412975583,,66.5,-6.62,7,Jul,4.5,-6.63,,USD,Large,78.95999908447266,-25.16,67.70999908447266,-12.73,1.0,59.09,63.289,6329.0,-419.0,5909.0,2.66,66.5,CVS
VNA IBIS,1,28.63,213.5847,23.603,5041.0,1085.0,6126.0,8.79,DE,VONOVIA SE,REITS,REITS,0.9,0.9,05122025,27.18,0.003153436635795422,44.49084732307233,28.58522775681508,,192.22623000000002,21.52,5,May,3.14,21.3,European Apartments,EUR,Large,28.54,0.32,27.1,5.65,1.0715701580047607,30.6790536236763,25.29227043938637,5401.785166501999,1162.6536214351654,6564.438787937164,0.9644131422042846,205.98389165375949,VNA.DE
MPW,2,5.33,306.0,16.656,5097.0,-3466.0,1631.0,2.16,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,0.6,0.15,06102024,4.6,0.08553974860289623,111.82225980247784,30.361583559230997,,45.9,-68.0,6,Jun,11.26,-68.0,Healthcare,USD,Small,4.93,8.11,4.62,15.37,1.0,5.33,16.656,5097.0,-3466.0,1631.0,0.6,45.9,MPW
WBD,3,8.27,500.0,7.817,3909.0,227.0,4135.0,5.47,US,WARNER BROS DISCOVERY INC,Communications,Media,0.0,0.0,01012000,7.36,'-0.27328647479488255,64.02427380427623,34.72945346912615,,0.0,5.81,1,Jan,0.0,5.8,,USD,Medium,11.380000114440918,-27.33,7.360000133514404,12.36,1.0,8.27,7.817,3909.0,227.0,4135.0,0.0,0.0,WBD
RICK,4,44.74,50.969,71.327,3635.0,-1355.0,2280.0,3.02,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",REITS,0.24,0.06,06142024,50.76,'-0.3247811868762904,39.110342422626275,20.57494996960186,,3.05814,-37.28,6,Jun,0.54,-37.27,Night Clubs,USD,Medium,66.26,-32.48,50.76,-11.86,1.0,44.74,71.327,3635.0,-1355.0,2280.0,0.24,3.05814,RICK
ARE,5,119.0,28.0,116.658,3266.0,66.0,3332.0,4.41,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,5.08,1.27,06282024,115.87,'-0.06129207895259008,36.44040949719393,19.11401842021398,,35.56,2.02,6,Jun,4.27,2.01,Office in science,USD,Medium,126.77,-6.13,115.87,2.7,1.0,119.0,116.658,3266.0,66.0,3332.0,5.08,35.56,ARE
LI SBF,6,26.6,78.0,13.031,1016.0,1068.0,2084.0,2.99,FR,KLEPIERRE,REITS,REITS,0.0,0.0,01012000,25.26,0.07779577273431258,26.72013074688781,14.196890051892519,,0.0,105.12,1,Jan,0.0,104.13,European Malls,EUR,Small,24.68,7.78,25.3,5.14,1.0715701580047607,28.503766202926638,13.963630728960037,1088.715280532837,1144.4369287490845,2233.1522092819214,0.0,0.0,LI.PA
VICI,7,28.71,88.0,28.89,2542.0,-16.0,2526.0,3.34,US,VICI PROPERTIES INC,REITS,REITS,1.66,0.415,06202024,28.55,'-0.09943535897791954,22.93453704477508,13.960677054629562,,36.519999999999996,-0.63,6,Jun,5.78,-0.62,Net Lease,USD,Medium,31.75,-9.57,28.55,0.56,1.0,28.71,28.89,2542.0,-16.0,2526.0,1.66,36.519999999999996,VICI
CCI,8,102.5,20.0,104.165,2083.0,-33.0,2050.0,2.71,US,CROWN CASTLE INC,REITS,REITS,6.26,1.565,06142024,93.78,'-0.11016583186428248,34.390375834467854,18.15186437945775,,31.299999999999997,-1.58,6,Jun,6.11,-1.6,Cell Towers,USD,Small,115.2,-11.02,93.78,9.3,1.0,102.5,104.165,2083.0,-33.0,2050.0,6.26,31.299999999999997,CCI
ADC,9,60.76,67.0,57.835,3875.0,196.0,4071.0,5.39,US,AGREE REALTY CORP,REITS,REITS,3.0,0.25,06282024,57.22,'-0.018007488309150183,23.169320401433218,12.526890935588147,,16.75,5.06,6,Jun,4.94,5.06,Net Lease,USD,Medium,62.95,-3.48,57.22,6.19,1.0,60.76,57.835,3875.0,196.0,4071.0,3.0,16.75,ADC
