Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
BTG,27.0,,2.8,2708.0,3.118,8441.0,-832.0,7609.0,10.86,CA,B2GOLD CORP,Basic Materials,Gold Miners,3655639690.109914,67.95398,1.12535,4.0,4.43,58.214285714285715,0.16,0.04,03052024,2.8,,41.6,28.17,108.32000000000001,-9.86,3.0,Mar,5.71,-10.2,,USD,X Large,3.17,-11.67,3.17,-11.67
ARE,24.0,,120.9,28.0,116.658,3266.0,142.0,3409.0,4.86,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,21300632472.76218,930.4833,1.06011,13.0,140.62,16.311000827129856,5.08,1.27,03272024,120.9,,36.44,19.11,35.56,4.35,3.0,Mar,4.2,3.64,Office in science,USD,Medium,126.77,-4.63,126.77,-4.63
AEM,19.0,,49.16,100.0,43.551,4355.0,580.0,4935.0,7.04,CA,AGNICO EAGLE MINES LTD,Basic Materials,Gold Miners,24476921992.393265,30.10192,0.92684,16.0,67.94,38.20179007323027,1.6,0.4,02292024,49.16,,39.18,22.49,40.0,13.32,2.0,Feb,3.25,12.88,,USD,Large,54.16,-9.23,54.16,-9.23
EPR,14.0,,44.27,62.0,39.451,2446.0,313.0,2759.0,3.94,US,EPR PROPERTIES,REITS,REITS,3352160046.728972,170.4047,1.67235,9.0,49.06,10.819968375875307,3.3,0.275,02282024,44.27,,28.87,18.52,17.05,12.8,2.0,Feb,7.45,12.22,Net Lease,USD,Medium,48.45,-8.63,48.45,-8.63
GMRE,14.0,,10.11,200.0,7.843,1568.0,468.0,2036.0,2.9,US,GLOBAL MEDICAL REIT INC,REITS,REITS,667451078.2047572,344.1277,1.18566,7.0,10.91,7.912957467853618,0.84,0.21,03212024,10.11,,35.27,18.16,42.0,29.85,3.0,Mar,8.31,28.9,Healthcare,USD,Small,11.1,-8.92,11.1,-8.92
UNIT,12.0,,5.26,192.0,6.965,1337.0,-316.0,1021.0,1.46,US,UNITI GROUP INC,REITS,REITS,1269735278.0078075,,1.34176,9.0,6.33,20.342205323193923,0.6,0.15,03272024,5.26,,66.88,38.66,28.799999999999997,-23.64,3.0,Mar,11.41,-24.48,Specialty,USD,Small,5.78,-9.0,5.78,-9.0
VICI,10.0,,30.12,88.0,28.89,2542.0,118.0,2660.0,3.8,US,VICI PROPERTIES INC,REITS,REITS,31273904205.66161,66.84509,0.92155,21.0,36.1,19.853917662682605,1.66,0.415,03202024,30.12,,35.43,13.96,36.519999999999996,4.64,3.0,Mar,5.51,4.26,Net Lease,USD,Medium,31.75,-5.13,31.75,-5.13
MPW,6.0,0.01,3.13,306.0,16.656,5097.0,-4142.0,955.0,1.36,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,1868879931.44989,,1.09027,10.0,5.3,69.32907348242811,0.6,0.15,03132024,3.1,-0.36,100.33,30.36,45.9,-81.26,3.0,Mar,19.17,-81.21,Healthcare,USD,Small,4.93,-36.51,4.93,-36.51
SPG,5.0,,138.61,13.0,70.921,922.0,885.0,1807.0,2.58,US,SIMON PROPERTY GROUP INC,REITS,REITS,45348390620.51135,109.1315,1.67047,16.0,150.44,8.534737753408834,7.6,1.9,03072024,138.61,,30.78,16.57,24.7,95.99,3.0,Mar,5.48,95.44,Malls,USD,Small,142.93,-3.02,142.93,-3.02
VOD,3.0,,8.6,66.0,13.764,908.0,-337.0,571.0,0.81,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,23121488076.374897,23.1582,0.70391,2.0,13.86,61.16279069767442,0.96,0.48,06062024,8.6,,35.12,17.99,31.68,-37.11,6.0,Jun,11.16,-37.52,,USD,Micro,8.7,-1.15,8.7,-1.15
