Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
KGC,45.0,0.01,5.89,755.0,3.8,2869.0,1578.0,4447.0,6.41,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,7239143330.228585,60.2695,0.93763,13.0,6.29,6.791171477079802,0.12,0.03,03052024,5.21,0.47,53.88,28.11,22.65,55.0,3.0,Mar,2.04,55.0,,USD,Large,4.06,45.07,5.21,13.05
AEM,69.0,0.01,53.7,100.0,43.551,4355.0,1015.0,5370.0,7.75,CA,AGNICO EAGLE MINES LTD,Basic Materials,Gold Miners,26634852733.78493,30.10192,0.79703,15.0,65.43,21.84357541899442,1.6,0.4,02292024,46.91,0.06,46.1,22.49,40.0,23.31,2.0,Feb,2.98,23.3,,USD,Large,50.33,6.7,48.15,11.53
LI SBF,2.0,0.0,23.1,78.0,13.031,1016.0,787.0,1803.0,2.83,FR,KLEPIERRE,REITS,REITS,6632230223.376624,6.0193,1.78528,16.0,23.3,0.8658008658008627,0.0,0.0,01012000,22.9,0.12,38.14,17.09,0.0,77.46,1.0,Jan,0.0,77.27,European Malls,EUR,Small,21.53,7.29,22.9,0.87
SPG,28.0,0.02,124.89,13.0,70.921,922.0,702.0,1624.0,2.34,US,SIMON PROPERTY GROUP INC,REITS,REITS,40745036748.577225,109.1315,1.60277,15.0,130.47,4.467931779966369,7.6,1.9,12072023,109.89,0.1,30.78,16.57,24.7,76.14,12.0,Dec,6.09,76.1,Malls,USD,Small,117.48,6.31,109.89,13.65
VNA IBIS,-70.0,-0.01,25.6,213.5847,23.603,5041.0,431.0,5472.0,8.59,DE,VONOVIA SE,REITS,REITS,20871207121.387283,,0.77501,20.0,28.9,12.89062499999999,0.85,0.85,05082024,21.7,0.16,52.74,28.76,181.54699499999998,8.55,5.0,May,3.32,8.46,European Apartments,EUR,Large,22.02,16.26,21.78,17.54
MAC,13.0,0.01,11.47,115.0,7.646,879.0,440.0,1319.0,1.9,US,MACERICH CO/THE,REITS,REITS,2471190354.185793,,2.23713,12.0,11.71,2.092414995640804,0.68,0.17,02202024,9.72,0.07,50.2,27.48,19.55,50.06,2.0,Feb,5.93,50.01,Malls,USD,Small,11.26,1.87,9.72,18.0
GMRE,12.0,0.01,10.03,200.0,7.843,1568.0,438.0,2006.0,2.89,US,GLOBAL MEDICAL REIT INC,REITS,REITS,657616379.1823411,344.1277,1.14979,7.0,10.75,7.178464606181463,0.84,0.21,12222023,8.66,0.11,38.25,18.16,42.0,27.93,12.0,Dec,8.37,27.88,Healthcare,USD,Small,9.55,5.03,8.67,15.69
EPR,12.0,0.0,44.62,62.0,40.396,2505.0,262.0,2766.0,3.99,US,EPR PROPERTIES,REITS,REITS,3361199808.778553,170.4047,1.65163,10.0,47.65,6.790676826535188,3.3,0.275,12282023,42.7,0.26,30.65,18.52,17.05,10.46,12.0,Dec,7.4,10.46,Net Lease,USD,Medium,37.72,18.29,42.7,4.5
CCI,26.0,0.01,117.28,20.0,105.178,2104.0,242.0,2346.0,3.38,US,CROWN CASTLE INC,REITS,REITS,50863024943.95217,175.1289,0.75402,15.0,103.07,-12.116302864938614,6.26,1.565,12142023,92.98,-0.11,34.39,18.15,31.299999999999997,11.5,12.0,Dec,5.34,11.51,Specialty,USD,Medium,130.08,-9.84,98.89,18.6
STAG,1.0,0.0,35.85,36.6128,31.788,1164.0,149.0,1313.0,1.89,US,STAG INDUSTRIAL INC,REITS,REITS,6509317141.309264,146.111,1.01602,10.0,37.4,4.323570432357035,1.4645,0.1225,12282023,33.22,0.15,31.69,15.98,4.485068,12.8,12.0,Dec,4.09,12.78,Industrial,USD,Small,32.05,11.86,33.22,7.92
ADC,56.0,0.01,59.21,67.0,57.881,3878.0,89.0,3967.0,5.72,US,AGREE REALTY CORP,REITS,REITS,5951772471.959799,172.2073,0.53354,14.0,66.02,11.501435568316154,2.964,0.247,12282023,55.94,-0.13,23.58,12.53,16.549,2.29,12.0,Dec,5.01,2.3,,USD,Medium,68.01,-12.94,61.01,-2.95
VICI,24.0,0.01,29.89,88.0,28.916,2545.0,86.0,2630.0,3.79,US,VICI PROPERTIES INC,REITS,REITS,30922163028.26113,66.84509,0.98255,21.0,35.29,18.066242890598858,1.66,0.415,12202023,27.9,-0.05,36.1,13.96,36.519999999999996,3.38,12.0,Dec,5.55,3.37,Net Lease,USD,Medium,32.4,-7.75,27.9,7.13
BTG,34.0,0.01,3.38,1708.0,3.372,5759.0,14.0,5773.0,8.33,CA,B2GOLD CORP,Basic Materials,Gold Miners,4400346873.878912,67.95398,0.99399,4.0,4.42,30.76923076923077,0.16,0.04,12012023,3.23,-0.03,47.13,28.17,68.32000000000001,0.24,12.0,Dec,4.73,0.24,,USD,Large,3.58,-5.59,3.24,4.32
BYG LSE,-4.0,-0.02,1083.0,25.0,1116.5,279.0,-8.0,271.0,0.49,GB,BIG YELLOW GROUP PLC,REITS,REITS,2124794803.636364,46.03304,0.55158,15.0,1179.93,8.950138504155131,0.452,0.226,01042024,,,,,5.65,-2.87,1.0,Jan,0.04,-3.0,UK Self Storage,GBP,Micro,1147.0,-5.58,955.0,13.4
REI.UN TSE,1.0,-0.0,17.4,26.0,18.22,474.0,-19.0,454.0,0.48,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,5245137267.165586,210.363,1.2106,10.0,21.3,22.413793103448292,1.08,0.09,12282023,,,25.57,14.37,2.34,-4.01,12.0,Dec,6.21,-4.5,Canadian Retail,CAD,Micro,21.13,-17.65,16.85,3.26
NET.UN VENTURE,0.0,0.0,4.75,70.0,8.016,561.0,-229.0,333.0,0.35,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,97618140.0,712.2211,0.45521,5.0,5.65,18.947368421052637,0.345,0.02875,12142023,,,58.71,21.94,2.0125,-40.82,12.0,Dec,7.26,-40.74,Canadian Net Lease,CAD,Micro,6.21,-23.51,4.75,0.0
