Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,
AEM Jan19'24 60 CALL,5,-0.10714285714285723,0.25,-1,0.499,-50,28,-22,-0.03%,,AGNICO EAGLE MINES LTD,,,27160826344.751686,30.10192,0.90115,,,,,,,,,,,
NET.UN VENTURE,4,0.010416666666666815,4.85,70,8.016,561,-222,340,0.34%,CA,CANADIAN NET REAL ESTATE INV,Financial,REITS,98536810.00,712.2211,0.514,5.0,5.55,0.14429999999999998,0.345,0.02875,01/12/2024,,,58.70726446194355,16.415670094135763,
REI.UN TSE,3,0.007030827474310383,18.62,26,18.22,474,10,484,0.49%,CA,RIOCAN REAL ESTATE INVST TR,Financial,REITS,5545252000.00,210.363,1.22963,10.0,21.63,0.1617,1.08,0.09,01/30/2024,,,25.573674299268106,14.371350558542689,
GRPN Jan19'24 11 PUT,1,0.09999999999999995,0.22,-1,0.309,-31,12,-19,-0.03%,,GROUPON INC,,Internet,410908600.00,,1.62806,,,,,,,,,,,
VOD,-1,-0.0022935779816513273,8.70,66,13.764,908,-334,574,0.77%,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,23492863417.43119,23.1582,0.66518,2.0,14.43,0.6586,0.96,0.48,06/06/2024,8.699999809265137,0.00000002,35.12298459164027,17.99391348670001,
BYG LSE,-2,-0.008116883116883232,1222.00,25,1116.5,279,26,306,0.52%,GB,BIG YELLOW GROUP PLC,Financial,REITS,2397506470.7792206,46.03304,0.59816,15.0,1189.93,96.37559999999999,0.452,0.226,01/04/2024,12.220000267028809,-0.00000002,39.376557174587816,26.859191755459683,
BRNK IBIS,-3,-0.004424778761061983,3.375,233,12.103,"2,820","-2,033",786,1.16%,DE,BRANICKS GROUP AG,Financial,Real Estate,282033617.25663716,,1.10684,9.0,5.8,0.7184999999999999,0.75,0.75,03/05/2024,3.375,0.0,70.15182875396071,30.07854133119498,
OXY Feb02'24 56 PUT,-4,0.0714285714285715,0.45,-1,0.439,-44,-1,-45,-0.06%,,OCCIDENTAL PETROLEUM CORP,,Oil&Gas,52338938229.11456,13.44218,1.63834,,,,,,,,,,,
STAG,-12,-0.008084891359272367,39.26,36.6128,31.788,"1,164",274,"1,437",1.92%,US,STAG INDUSTRIAL INC,Financial,REITS,7128473313.794846,146.111,1.04158,10.0,37.6,-0.042300000000000004,1.464,0.122,01/30/2024,39.2599983215332,0.00000004,27.85341143745465,15.984201011373262,
AEM,-13,-0.014914514368861409,54.16,100,43.551,"4,355","1,130","5,485",7.33%,CA,AGNICO EAGLE MINES LTD,Basic Materials,Mining,27160826344.751686,30.10192,0.90115,16.0,66.72,0.23190000000000002,1.6,0.4,02/29/2024,54.849998474121094,-0.01257973552080662,39.182729251264334,22.494336361793298,
